puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps,backtracks
1,Easy,46,1.933,True,True,306,8
2,Easy,46,2.252,True,True,408,19
3,Easy,46,4.132,True,True,926,78
4,Easy,45,7.97,True,True,2103,208
5,Easy,46,1.604,True,True,320,10
6,Easy,46,2.367,True,True,579,39
7,Easy,46,2.027,True,True,335,12
8,Easy,46,1.633,True,True,340,12
9,Easy,46,2.679,True,True,675,50
10,Easy,46,1.703,True,True,411,21
11,Easy,46,4.038,True,True,1013,87
12,Easy,46,9.193,True,True,2333,235
13,Easy,46,1.936,True,True,502,30
14,Easy,46,1.619,True,True,381,17
15,Easy,46,1.298,True,True,275,4
16,Easy,46,3.467,True,True,974,82
17,Easy,46,3.578,True,True,926,78
18,Easy,46,2.675,True,True,649,47
19,Easy,46,1.627,True,True,373,16
20,Easy,46,3.31,True,True,888,73
21,Easy,46,1.187,True,True,239,1
22,Easy,46,5.417,True,True,1569,148
23,Easy,46,2.711,True,True,677,48
24,Easy,45,3.293,True,True,880,74
25,Easy,46,5.749,True,True,1648,158
26,Easy,45,2.104,True,True,405,22
27,Easy,46,1.661,True,True,294,7
28,Easy,46,1.962,True,True,385,18
29,Easy,45,1.446,True,True,309,10
30,Easy,46,1.556,True,True,332,12
31,Easy,46,2.199,True,True,563,37
32,Easy,46,1.422,True,True,318,8
33,Easy,46,1.868,True,True,466,26
34,Easy,46,2.645,True,True,621,44
35,Easy,46,2.107,True,True,488,28
36,Easy,46,6.25,True,True,1700,162
37,Easy,46,1.631,True,True,365,14
38,Easy,46,4.228,True,True,1274,116
39,Easy,46,3.836,True,True,1016,87
40,Easy,46,1.889,True,True,416,20
41,Easy,46,1.412,True,True,278,6
42,Easy,46,2.891,True,True,783,62
43,Easy,46,1.457,True,True,331,11
44,Easy,46,3.122,True,True,806,64
45,Easy,46,2.072,True,True,467,27
46,Easy,46,1.787,True,True,419,21
47,Easy,46,4.523,True,True,1227,110
48,Easy,46,2.145,True,True,486,29
49,Easy,46,4.72,True,True,1363,125
50,Easy,46,8.981,True,True,2518,254
51,Easy,45,4.472,True,True,517,32
52,Easy,46,3.334,True,True,449,25
53,Easy,46,5.17,True,True,766,60
54,Easy,46,4.604,True,True,1082,94
55,Easy,46,3.323,True,True,627,43
56,Easy,46,2.476,True,True,324,10
57,Easy,46,3.165,True,True,387,17
58,Easy,46,8.093,True,True,1475,139
59,Easy,46,3.977,True,True,705,53
60,Easy,46,1.641,True,True,306,9
61,Easy,46,2.743,True,True,542,35
62,Easy,46,2.383,True,True,284,7
63,Easy,46,7.547,True,True,1430,133
64,Easy,46,22.167,True,True,6342,678
65,Easy,46,5.974,True,True,1391,129
66,Easy,46,3.033,True,True,815,67
67,Easy,46,5.453,True,True,1503,142
68,Easy,46,2.712,True,True,571,38
69,Easy,46,1.363,True,True,286,6
70,Easy,46,2.938,True,True,635,45
71,Easy,46,3.265,True,True,956,81
72,Easy,46,1.875,True,True,445,24
73,Easy,46,3.832,True,True,1075,95
74,Easy,46,1.599,True,True,287,6
75,Easy,46,6.319,True,True,1860,181
76,Easy,46,1.625,True,True,368,15
77,Easy,45,3.132,True,True,862,70
78,Easy,46,1.185,True,True,243,1
79,Easy,46,22.056,True,True,5610,598
80,Easy,46,4.607,True,True,1005,87
81,Easy,46,1.632,True,True,305,9
82,Easy,46,2.585,True,True,582,39
83,Easy,46,2.572,True,True,480,28
84,Easy,46,5.895,True,True,1289,118
85,Easy,46,2.334,True,True,549,36
86,Easy,46,1.44,True,True,240,1
87,Easy,46,1.89,True,True,430,23
88,Easy,46,2.361,True,True,609,42
89,Easy,46,4.395,True,True,1128,99
90,Easy,46,2.724,True,True,690,50
91,Easy,46,14.645,True,True,3811,398
92,Easy,46,2.056,True,True,470,26
93,Easy,46,2.54,True,True,506,31
94,Easy,46,1.996,True,True,370,15
95,Easy,46,1.553,True,True,250,2
96,Easy,46,2.367,True,True,414,20
97,Easy,46,1.659,True,True,279,4
98,Easy,46,4.213,True,True,999,86
99,Easy,46,4.733,True,True,1250,112
100,Easy,46,2.489,True,True,541,34
101,Medium,47,5.809,True,True,588,40
102,Medium,47,6.205,True,True,927,77
103,Medium,47,3.156,True,True,560,35
104,Medium,47,4.256,True,True,689,50
105,Medium,47,2.775,True,True,374,15
106,Medium,47,2.129,True,True,399,18
107,Medium,47,4.536,True,True,707,51
108,Medium,47,2.011,True,True,321,9
109,Medium,47,1.887,True,True,347,13
110,Medium,47,6.684,True,True,1409,131
111,Medium,47,2.337,True,True,552,35
112,Medium,47,5.846,True,True,1528,144
113,Medium,47,4.752,True,True,1187,105
114,Medium,47,2.191,True,True,498,31
115,Medium,47,2.271,True,True,548,35
116,Medium,47,2.04,True,True,444,23
117,Medium,47,4.381,True,True,1185,106
118,Medium,47,6.468,True,True,1709,163
119,Medium,47,3.533,True,True,979,83
120,Medium,47,8.091,True,True,1754,170
121,Medium,47,16.197,True,True,4183,440
122,Medium,47,6.792,True,True,1543,145
123,Medium,47,1.993,True,True,442,23
124,Medium,47,1.547,True,True,329,10
125,Medium,47,5.793,True,True,1532,143
126,Medium,47,32.919,True,True,8641,933
127,Medium,47,2.054,True,True,380,15
128,Medium,47,2.892,True,True,595,39
129,Medium,47,1.816,True,True,426,22
130,Medium,47,5.471,True,True,1564,147
131,Medium,47,3.256,True,True,899,74
132,Medium,47,1.799,True,True,305,8
133,Medium,47,1.554,True,True,302,7
134,Medium,47,3.62,True,True,895,73
135,Medium,47,1.629,True,True,365,15
136,Medium,47,2.089,True,True,553,35
137,Medium,47,1.749,True,True,418,20
138,Medium,47,12.105,True,True,3226,332
139,Medium,47,2.292,True,True,621,42
140,Medium,47,2.612,True,True,642,46
141,Medium,47,1.365,True,True,295,6
142,Medium,47,1.631,True,True,369,15
143,Medium,47,3.578,True,True,762,58
144,Medium,47,4.513,True,True,1078,94
145,Medium,47,5.594,True,True,1659,158
146,Medium,47,1.38,True,True,277,6
147,Medium,47,1.819,True,True,438,22
148,Medium,47,4.274,True,True,925,77
149,Medium,47,2.266,True,True,574,37
150,Medium,47,1.596,True,True,352,12
151,Medium,47,2.394,True,True,280,5
152,Medium,47,2.845,True,True,385,17
153,Medium,47,5.73,True,True,716,54
154,Medium,47,10.646,True,True,2344,234
155,Medium,47,5.747,True,True,871,71
156,Medium,47,2.539,True,True,399,18
157,Medium,47,3.699,True,True,644,45
158,Medium,47,4.192,True,True,822,65
159,Medium,47,7.383,True,True,2006,196
160,Medium,47,3.593,True,True,966,81
161,Medium,47,3.774,True,True,651,46
162,Medium,47,1.895,True,True,262,4
163,Medium,47,3.018,True,True,653,46
164,Medium,47,5.285,True,True,1384,127
165,Medium,47,1.875,True,True,432,22
166,Medium,47,3.079,True,True,817,64
167,Medium,47,2.775,True,True,598,41
168,Medium,47,5.827,True,True,1556,147
169,Medium,47,2.766,True,True,684,51
170,Medium,47,2.308,True,True,543,34
171,Medium,47,1.79,True,True,463,26
172,Medium,47,2.828,True,True,617,43
173,Medium,47,2.063,True,True,501,30
174,Medium,47,1.587,True,True,376,15
175,Medium,47,4.861,True,True,1257,112
176,Medium,47,3.606,True,True,816,64
177,Medium,47,2.384,True,True,620,42
178,Medium,47,3.17,True,True,848,69
179,Medium,47,1.365,True,True,312,9
180,Medium,47,1.942,True,True,501,29
181,Medium,47,4.067,True,True,867,69
182,Medium,47,1.571,True,True,315,9
183,Medium,47,4.257,True,True,1205,108
184,Medium,47,1.666,True,True,365,15
185,Medium,47,8.89,True,True,2531,255
186,Medium,47,4.598,True,True,1447,134
187,Medium,47,6.05,True,True,1780,172
188,Medium,47,3.812,True,True,895,73
189,Medium,47,1.643,True,True,351,14
190,Medium,47,4.574,True,True,1162,103
191,Medium,47,3.855,True,True,1087,95
192,Medium,47,2.132,True,True,479,28
193,Medium,47,2.01,True,True,444,22
194,Medium,47,1.463,True,True,315,8
195,Medium,47,4.496,True,True,1201,107
196,Medium,47,2.944,True,True,736,55
197,Medium,47,1.342,True,True,259,4
198,Medium,47,1.268,True,True,259,3
199,Medium,47,1.976,True,True,384,17
200,Medium,47,4.157,True,True,1019,87
201,Hard,48,4.661,True,True,533,32
202,Hard,48,2.26,True,True,281,5
203,Hard,48,6.336,True,True,756,58
204,Hard,48,3.188,True,True,450,24
205,Hard,48,4.24,True,True,549,33
206,Hard,48,3.33,True,True,403,19
207,Hard,48,4.495,True,True,929,78
208,Hard,48,2.611,True,True,480,27
209,Hard,48,1.756,True,True,300,7
210,Hard,48,21.83,True,True,3499,362
211,Hard,48,9.977,True,True,2318,231
212,Hard,48,8.549,True,True,1837,178
213,Hard,48,7.871,True,True,1635,155
214,Hard,48,4.719,True,True,951,79
215,Hard,48,4.904,True,True,1007,85
216,Hard,48,3.926,True,True,777,60
217,Hard,48,2.755,True,True,522,31
218,Hard,48,2.759,True,True,509,30
219,Hard,48,3.229,True,True,595,39
220,Hard,48,2.781,True,True,385,17
221,Hard,48,2.407,True,True,327,9
222,Hard,48,12.701,True,True,3256,335
223,Hard,48,6.611,True,True,1844,178
224,Hard,48,3.066,True,True,847,68
225,Hard,48,3.847,True,True,1021,88
226,Hard,48,6.762,True,True,1979,193
227,Hard,48,3.675,True,True,1008,86
228,Hard,48,4.488,True,True,1220,109
229,Hard,48,2.442,True,True,594,39
230,Hard,48,2.251,True,True,569,37
231,Hard,48,40.127,True,True,11168,1214
232,Hard,48,2.876,True,True,713,52
233,Hard,48,1.355,True,True,290,6
234,Hard,48,6.909,True,True,2036,200
235,Hard,48,2.057,True,True,504,30
236,Hard,48,2.194,True,True,523,31
237,Hard,48,2.255,True,True,481,27
238,Hard,48,2.202,True,True,522,32
239,Hard,48,1.521,True,True,342,11
240,Hard,48,2.969,True,True,676,49
241,Hard,48,1.81,True,True,388,16
242,Hard,48,3.195,True,True,805,63
243,Hard,48,1.462,True,True,307,7
244,Hard,48,5.119,True,True,1422,132
245,Hard,48,5.08,True,True,1234,110
246,Hard,48,1.839,True,True,418,19
247,Hard,48,1.586,True,True,343,11
248,Hard,48,1.34,True,True,272,3
249,Hard,48,6.4,True,True,1643,156
250,Hard,48,1.316,True,True,267,3
251,Hard,48,5.291,True,True,683,49
252,Hard,48,9.969,True,True,1429,133
253,Hard,48,3.765,True,True,548,34
254,Hard,48,2.146,True,True,345,11
255,Hard,48,11.967,True,True,2042,200
256,Hard,48,2.359,True,True,365,14
257,Hard,48,12.657,True,True,3116,320
258,Hard,48,1.964,True,True,439,22
259,Hard,48,3.197,True,True,864,70
260,Hard,48,1.819,True,True,404,19
261,Hard,48,13.346,True,True,3769,392
262,Hard,48,3.966,True,True,1114,98
263,Hard,48,5.095,True,True,1115,97
264,Hard,48,2.482,True,True,597,40
265,Hard,48,5.713,True,True,1592,150
266,Hard,48,2.321,True,True,616,43
267,Hard,48,2.678,True,True,598,40
268,Hard,48,4.762,True,True,1306,119
269,Hard,48,1.545,True,True,333,11
270,Hard,48,6.011,True,True,1690,161
271,Hard,48,3.929,True,True,722,54
272,Hard,48,3.713,True,True,788,62
273,Hard,48,2.406,True,True,546,34
274,Hard,48,1.86,True,True,339,11
275,Hard,48,6.463,True,True,1214,109
276,Hard,48,3.814,True,True,707,52
277,Hard,48,1.884,True,True,336,11
278,Hard,48,2.223,True,True,509,30
279,Hard,48,7.06,True,True,1888,182
280,Hard,48,2.755,True,True,663,48
281,Hard,48,2.486,True,True,656,47
282,Hard,48,1.415,True,True,278,4
283,Hard,48,9.545,True,True,2822,287
284,Hard,48,10.401,True,True,2857,291
285,Hard,48,3.656,True,True,790,61
286,Hard,48,4.401,True,True,1242,111
287,Hard,48,2.034,True,True,475,26
288,Hard,48,3.097,True,True,779,60
289,Hard,48,5.909,True,True,1453,134
290,Hard,48,1.827,True,True,338,11
291,Hard,48,1.6,True,True,321,9
292,Hard,48,2.934,True,True,672,49
293,Hard,48,10.366,True,True,2795,283
294,Hard,48,1.562,True,True,336,11
295,Hard,48,2.877,True,True,750,57
296,Hard,48,1.907,True,True,450,23
297,Hard,48,7.989,True,True,2277,226
298,Hard,48,13.385,True,True,3985,416
299,Hard,48,2.464,True,True,583,39
300,Hard,48,3.295,True,True,860,69
301,Extreme,49,7.794,True,True,1184,104
302,Extreme,49,3.588,True,True,387,15
303,Extreme,49,15.773,True,True,3607,375
304,Extreme,50,30.452,True,True,6842,734
305,Extreme,49,3.64,True,True,813,63
306,Extreme,49,10.734,True,True,2935,298
307,Extreme,49,1.622,True,True,352,12
308,Extreme,49,32.234,True,True,10084,1094
309,Extreme,49,3.564,True,True,980,81
310,Extreme,49,3.251,True,True,865,69
311,Extreme,49,8.556,True,True,2127,209
312,Extreme,49,4.766,True,True,1206,107
313,Extreme,49,7.889,True,True,2397,239
314,Extreme,49,7.645,True,True,2391,239
315,Extreme,49,10.47,True,True,2612,262
316,Extreme,49,2.143,True,True,472,25
317,Extreme,49,2.945,True,True,762,57
318,Extreme,49,2.23,True,True,526,31
319,Extreme,49,3.835,True,True,728,54
320,Extreme,49,3.044,True,True,802,61
321,Extreme,49,1.495,True,True,312,8
322,Extreme,49,1.753,True,True,423,20
323,Extreme,49,1.381,True,True,267,3
324,Extreme,50,2.177,True,True,484,28
325,Extreme,49,2.616,True,True,610,41
326,Extreme,49,2.96,True,True,756,56
327,Extreme,49,6.539,True,True,1841,177
328,Extreme,49,12.919,True,True,4249,445
329,Extreme,49,11.309,True,True,3085,315
330,Extreme,49,3.068,True,True,656,45
331,Extreme,49,6.596,True,True,1838,177
332,Extreme,50,2.502,True,True,636,42
333,Extreme,49,6.618,True,True,1682,158
334,Extreme,49,1.999,True,True,448,23
335,Extreme,49,15.034,True,True,4350,457
336,Extreme,49,6.251,True,True,1753,169
337,Extreme,49,2.735,True,True,570,36
338,Extreme,49,4.089,True,True,1057,91
339,Extreme,49,8.689,True,True,2479,249
340,Extreme,49,3.27,True,True,678,49
341,Extreme,49,7.405,True,True,2390,238
342,Extreme,49,7.103,True,True,2022,197
343,Extreme,49,1.696,True,True,386,15
344,Extreme,49,9.646,True,True,2618,263
345,Extreme,50,11.383,True,True,2960,301
346,Extreme,49,8.084,True,True,2398,238
347,Extreme,49,1.952,True,True,434,21
348,Extreme,49,26.171,True,True,8242,888
349,Extreme,49,20.458,True,True,5242,556
350,Extreme,50,5.888,True,True,1716,163
351,Extreme,49,4.533,True,True,473,27
352,Extreme,50,7.298,True,True,830,65
353,Extreme,49,6.236,True,True,1025,87
354,Extreme,49,7.05,True,True,1389,127
355,Extreme,50,2.798,True,True,596,38
356,Extreme,49,1.529,True,True,336,10
357,Extreme,49,1.844,True,True,418,19
358,Extreme,49,1.647,True,True,291,6
359,Extreme,49,11.194,True,True,2110,209
360,Extreme,49,4.254,True,True,1103,95
361,Extreme,49,3.633,True,True,590,39
362,Extreme,49,3.405,True,True,772,58
363,Extreme,49,27.931,True,True,8765,946
364,Extreme,49,3.467,True,True,893,72
365,Extreme,49,9.084,True,True,2404,239
366,Extreme,49,2.958,True,True,659,46
367,Extreme,49,1.633,True,True,361,13
368,Extreme,49,1.301,True,True,261,2
369,Extreme,49,2.13,True,True,545,33
370,Extreme,49,6.089,True,True,1728,165
371,Extreme,49,14.188,True,True,4136,433
372,Extreme,49,2.296,True,True,548,33
373,Extreme,49,4.081,True,True,1008,85
374,Extreme,49,10.901,True,True,3181,326
375,Extreme,49,2.747,True,True,734,54
376,Extreme,49,4.212,True,True,1132,99
377,Extreme,49,3.732,True,True,938,77
378,Extreme,49,1.766,True,True,380,16
379,Extreme,49,2.543,True,True,619,42
380,Extreme,50,5.421,True,True,1395,127
381,Extreme,49,8.648,True,True,2650,267
382,Extreme,49,2.71,True,True,554,33
383,Extreme,49,7.028,True,True,1919,185
384,Extreme,49,7.287,True,True,2142,211
385,Extreme,50,3.86,True,True,997,83
386,Extreme,49,1.95,True,True,468,26
387,Extreme,49,5.776,True,True,1690,160
388,Extreme,50,21.054,True,True,5953,634
389,Extreme,49,2.722,True,True,591,39
390,Extreme,49,2.389,True,True,585,38
391,Extreme,49,4.333,True,True,1054,90
392,Extreme,49,11.334,True,True,2914,297
393,Extreme,49,3.806,True,True,957,80
394,Extreme,49,8.341,True,True,2659,268
395,Extreme,49,5.127,True,True,1344,122
396,Extreme,49,1.95,True,True,352,11
397,Extreme,49,24.178,True,True,6715,719
398,Extreme,50,2.179,True,True,467,24
399,Extreme,49,11.457,True,True,3149,323
400,Extreme,49,2.09,True,True,461,24
