puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps,backtracks
1,Easy,46,0.563,True,True,46,0
2,Easy,46,0.511,True,True,46,0
3,Easy,46,0.504,True,True,46,0
4,Easy,45,0.508,True,True,45,0
5,Easy,46,0.562,True,True,46,0
6,Easy,46,0.495,True,True,46,0
7,Easy,46,0.542,True,True,46,0
8,Easy,46,0.522,True,True,46,0
9,Easy,46,0.498,True,True,46,0
10,Easy,46,0.51,True,True,46,0
11,Easy,46,0.571,True,True,46,0
12,Easy,46,0.5,True,True,46,0
13,Easy,46,0.512,True,True,46,0
14,Easy,46,0.57,True,True,46,0
15,Easy,46,0.575,True,True,46,0
16,Easy,46,0.534,True,True,46,0
17,Easy,46,0.497,True,True,46,0
18,Easy,46,0.546,True,True,46,0
19,Easy,46,0.494,True,True,46,0
20,Easy,46,0.5,True,True,46,0
21,Easy,46,0.542,True,True,46,0
22,Easy,46,0.585,True,True,46,0
23,Easy,46,0.503,True,True,46,0
24,Easy,45,0.509,True,True,45,0
25,Easy,46,0.524,True,True,46,0
26,Easy,45,0.483,True,True,45,0
27,Easy,46,0.552,True,True,46,0
28,Easy,46,0.517,True,True,46,0
29,Easy,45,0.487,True,True,45,0
30,Easy,46,0.509,True,True,46,0
31,Easy,46,0.517,True,True,46,0
32,Easy,46,0.52,True,True,46,0
33,Easy,46,0.494,True,True,46,0
34,Easy,46,0.904,True,True,46,0
35,Easy,46,0.614,True,True,46,0
36,Easy,46,0.579,True,True,46,0
37,Easy,46,0.583,True,True,46,0
38,Easy,46,0.518,True,True,46,0
39,Easy,46,0.534,True,True,46,0
40,Easy,46,0.538,True,True,46,0
41,Easy,46,0.517,True,True,46,0
42,Easy,46,0.503,True,True,46,0
43,Easy,46,0.544,True,True,46,0
44,Easy,46,0.54,True,True,46,0
45,Easy,46,0.494,True,True,46,0
46,Easy,46,0.531,True,True,46,0
47,Easy,46,0.524,True,True,46,0
48,Easy,46,0.505,True,True,46,0
49,Easy,46,0.499,True,True,46,0
50,Easy,46,0.517,True,True,46,0
51,Easy,45,0.946,True,True,45,0
52,Easy,46,1.159,True,True,46,0
53,Easy,46,0.975,True,True,46,0
54,Easy,46,0.982,True,True,46,0
55,Easy,46,0.975,True,True,46,0
56,Easy,46,1.349,True,True,46,0
57,Easy,46,2.148,True,True,46,0
58,Easy,46,1.877,True,True,46,0
59,Easy,46,1.418,True,True,46,0
60,Easy,46,1.384,True,True,46,0
61,Easy,46,1.395,True,True,46,0
62,Easy,46,1.895,True,True,46,0
63,Easy,46,2.184,True,True,46,0
64,Easy,46,1.87,True,True,46,0
65,Easy,46,1.757,True,True,46,0
66,Easy,46,1.344,True,True,46,0
67,Easy,46,0.871,True,True,46,0
68,Easy,46,0.799,True,True,46,0
69,Easy,46,0.746,True,True,46,0
70,Easy,46,0.647,True,True,46,0
71,Easy,46,0.696,True,True,46,0
72,Easy,46,0.647,True,True,46,0
73,Easy,46,0.66,True,True,46,0
74,Easy,46,0.796,True,True,46,0
75,Easy,46,1.035,True,True,46,0
76,Easy,46,0.781,True,True,46,0
77,Easy,45,0.715,True,True,45,0
78,Easy,46,0.646,True,True,46,0
79,Easy,46,0.691,True,True,46,0
80,Easy,46,0.69,True,True,46,0
81,Easy,46,0.675,True,True,46,0
82,Easy,46,0.638,True,True,46,0
83,Easy,46,0.626,True,True,46,0
84,Easy,46,0.663,True,True,46,0
85,Easy,46,0.73,True,True,46,0
86,Easy,46,0.709,True,True,46,0
87,Easy,46,0.712,True,True,46,0
88,Easy,46,0.635,True,True,46,0
89,Easy,46,0.606,True,True,46,0
90,Easy,46,0.678,True,True,46,0
91,Easy,46,2.247,True,True,46,0
92,Easy,46,0.86,True,True,46,0
93,Easy,46,0.699,True,True,46,0
94,Easy,46,0.859,True,True,46,0
95,Easy,46,0.858,True,True,46,0
96,Easy,46,0.829,True,True,46,0
97,Easy,46,1.38,True,True,46,0
98,Easy,46,0.859,True,True,46,0
99,Easy,46,0.843,True,True,46,0
100,Easy,46,0.882,True,True,46,0
101,Medium,47,0.914,True,True,47,0
102,Medium,47,2.306,True,True,47,0
103,Medium,47,0.979,True,True,47,0
104,Medium,47,1.011,True,True,47,0
105,Medium,47,1.309,True,True,47,0
106,Medium,47,1.415,True,True,47,0
107,Medium,47,1.03,True,True,47,0
108,Medium,47,1.026,True,True,47,0
109,Medium,47,0.906,True,True,47,0
