puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps,backtracks
1,Easy,46,3.014,True,True,46,0
2,Easy,46,4.549,True,True,46,0
3,Easy,46,5.123,True,True,46,0
4,Easy,45,5.666,True,True,45,0
5,Easy,46,3.364,True,True,46,0
6,Easy,46,6.792,True,True,46,0
7,Easy,46,2.853,True,True,46,0
8,Easy,46,3.818,True,True,46,0
9,Easy,46,3.699,True,True,46,0
10,Easy,46,2.851,True,True,46,0
11,Easy,46,5.703,True,True,46,0
12,Easy,46,5.049,True,True,46,0
13,Easy,46,6.383,True,True,46,0
14,Easy,46,2.478,True,True,46,0
15,Easy,46,4.024,True,True,46,0
16,Easy,46,4.637,True,True,46,0
17,Easy,46,5.43,True,True,46,0
18,Easy,46,3.065,True,True,46,0
19,Easy,46,2.222,True,True,46,0
20,Easy,46,7.966,True,True,46,0
21,Easy,46,2.763,True,True,46,0
22,Easy,46,7.042,True,True,46,0
23,Easy,46,6.16,True,True,46,0
24,Easy,45,9.723,True,True,45,0
25,Easy,46,18.848,True,True,46,0
26,Easy,45,4.42,True,True,45,0
27,Easy,46,5.649,True,True,46,0
28,Easy,46,3.42,True,True,46,0
29,Easy,45,3.547,True,True,45,0
30,Easy,46,3.477,True,True,46,0
31,Easy,46,6.307,True,True,46,0
32,Easy,46,10.952,True,True,46,0
33,Easy,46,7.653,True,True,46,0
34,Easy,46,3.694,True,True,46,0
35,Easy,46,4.127,True,True,46,0
36,Easy,46,10.695,True,True,46,0
37,Easy,46,4.885,True,True,46,0
38,Easy,46,3.838,True,True,46,0
39,Easy,46,5.708,True,True,46,0
40,Easy,46,7.865,True,True,46,0
41,Easy,46,10.101,True,True,46,0
42,Easy,46,7.862,True,True,46,0
43,Easy,46,6.066,True,True,46,0
44,Easy,46,11.927,True,True,46,0
45,Easy,46,4.639,True,True,46,0
46,Easy,46,7.397,True,True,46,0
47,Easy,46,15.812,True,True,46,0
48,Easy,46,4.046,True,True,46,0
49,Easy,46,7.443,True,True,46,0
50,Easy,46,13.234,True,True,46,0
51,Easy,45,4.812,True,True,45,0
52,Easy,46,10.055,True,True,46,0
53,Easy,46,6.146,True,True,46,0
54,Easy,46,6.347,True,True,46,0
55,Easy,46,6.244,True,True,46,0
56,Easy,46,3.252,True,True,46,0
57,Easy,46,3.589,True,True,46,0
58,Easy,46,6.713,True,True,46,0
59,Easy,46,4.511,True,True,46,0
60,Easy,46,4.726,True,True,46,0
61,Easy,46,4.33,True,True,46,0
62,Easy,46,2.741,True,True,46,0
63,Easy,46,15.154,True,True,46,0
64,Easy,46,20.799,True,True,46,0
65,Easy,46,13.155,True,True,46,0
66,Easy,46,7.67,True,True,46,0
67,Easy,46,9.294,True,True,46,0
68,Easy,46,4.682,True,True,46,0
69,Easy,46,5.575,True,True,46,0
70,Easy,46,6.515,True,True,46,0
